sku,product_name,cas_number,dosage
5-amino-1mq-10mg,5-amino-1mq,42437-96-7,10mg
5-amino-1mq-5mg,5-amino-1mq,42437-96-7,5mg
acetic-acid-water-3ml,Acetic Acid Water,64-19-7,3ml
adamax-10mg,Adamax,2920938-90-3,10mg
adipotide-2mg,Adipotide,859216-15-2,2mg
adipotide-5mg,Adipotide,859216-15-2,5mg
aicar-50mg,AICAR,2627-69-2,50mg
aod-9604-10mg,AOD-9604,221231-10-3,10mg
aod-9604-5mg,AOD-9604,221231-10-3,5mg
ara-290-10mg,ARA-290,1208243-50-8,10mg
b-12-10mg,B-12,68-19-9,10mg
bacteriostatic-water-10ml,Bacteriostatic Water,7732-18-5,10ml
bacteriostatic-water-3ml,Bacteriostatic Water,7732-18-5,3ml
benzyl-alcohol-10ml,Benzyl Alcohol,100-51-6,10ml
benzyl-alcohol-3ml,Benzyl Alcohol,100-51-6,3ml
bpc-157-10mg,BPC-157,137525-51-0,10mg
bpc-157-5mg,BPC-157,137525-51-0,5mg
bpc-157-5mg-tb500-5mg-10mg,BPC-157 5mg + TB500 5mg (10mg),137525-51-0,5mg
bpc-157-5mg-tb500-5mg-20mg,BPC-157 5mg + TB500 5mg (20mg),137525-51-0,5mg
bpc-157-capsules-100-count-500mcg,BPC-157 (Capsules),137525-51-0,100 count (500mcg)
bremelanotide-10mg,Bremelanotide,189691-06-3,10mg
bremelanotide-5mg,Bremelanotide,189691-06-3,5mg
cagrilintide-10mg,Cagrilintide,1415456-99-3,10mg
cagrilintide-5mg,Cagrilintide,1415456-99-3,5mg
cagrilintide-semaglutide-10mg,Cagrilintide + Semaglutide,1415456-99-3,10mg
cagrilintide-semaglutide-5mg,Cagrilintide + Semaglutide,1415456-99-3,5mg
cerebrolysin-10mg,Cerebrolysin,12656-61-0,10mg
cjc-1295-with-dac-10mg,CJC-1295 with DAC,863288-34-0,10mg
cjc-1295-with-dac-5mg,CJC-1295 with DAC,863288-34-0,5mg
cjc-1295-without-dac-10mg,CJC-1295 without DAC,446262-90-4,10mg
cjc-1295-without-dac-5mg,CJC-1295 without DAC,446262-90-4,5mg
cjc-1295-without-dac-ipamorelin-blend-10mg,CJC-1295 without DAC / Ipamorelin Blend,446262-90-4,10mg
cjc-1295-without-dac-sermorelin-ipamorelin-blend-5mg,CJC-1295 without DAC / Sermorelin / Ipamorelin Blend,446262-90-4,5mg
cu-50mg-tb500-10mg-bpc-157-10mg-kpv-10mg-80mg,CU 50mg + TB500 10mg + BPC-157 10mg + KPV 10mg (80mg),89030-95-5,50mg
dermorphin-5mg,Dermorphin,77614-16-5,5mg
dihexa-10mg,Dihexa,1401708-83-5,10mg
dsip-10mg,DSIP,62568-57-4,10mg
dsip-15mg,DSIP,62568-57-4,15mg
dsip-5mg,DSIP,62568-57-4,5mg
epithalon-10mg,Epithalon,307297-39-8,10mg
epithalon-20mg,Epithalon,307297-39-8,20mg
epithalon-50mg,Epithalon,307297-39-8,50mg
foxo4-dri-10mg,FOXO4-DRI,2460055-10-9,10mg
ghk-cu-100mg,GHK-Cu,89030-95-5,100mg
ghk-cu-50mg,GHK-Cu,89030-95-5,50mg
ghrp-2-acetate-10mg,GHRP-2 Acetate,158861-67-7,10mg
ghrp-2-acetate-5mg,GHRP-2 Acetate,158861-67-7,5mg
ghrp-6-acetate-10mg,GHRP-6 Acetate,87616-84-0,10mg
ghrp-6-acetate-5mg,GHRP-6 Acetate,87616-84-0,5mg
glow-bpc-157-tb500-ghk-cu-30mg,Glow BPC-157 + TB500 + GHK-Cu,137525-51-0,30mg
glow-bpc-157-tb500-ghk-cu-85mg,Glow BPC-157 + TB500 + GHK-Cu,137525-51-0,85mg
glow-tb500-10mg-bpc-157-10mg-ghk-cu-50mg-70mg,Glow TB500 10mg + BPC-157 10mg + GHK-Cu 50mg (70mg),137525-51-0,10mg
glutathione-1500mg,Glutathione,70-18-8,1500mg
glutathione-600mg,Glutathione,70-18-8,600mg
gonadorelin-10mg,Gonadorelin,33515-09-2,10mg
gonadorelin-2mg,Gonadorelin,33515-09-2,2mg
hcg-10000-iu,HCG,9002-61-3,10000 IU
hcg-5000-iu,HCG,9002-61-3,5000 IU
hexarelin-acetate-2mg,Hexarelin Acetate,140703-51-1,2mg
hexarelin-acetate-5mg,Hexarelin Acetate,140703-51-1,5mg
hgh-191aa-10-iu,HGH 191aa,12629-01-5,10 IU
hgh-191aa-12-iu,HGH 191aa,12629-01-5,12 IU
hgh-191aa-15-iu,HGH 191aa,12629-01-5,15 IU
hgh-191aa-24-iu,HGH 191aa,12629-01-5,24 IU
hgh-191aa-36-iu,HGH 191aa,12629-01-5,36 IU
hmg-75-iu,HMG,9002-68-0,75 IU
humanin-10mg,Humanin,330936-69-1,10mg
igf-1-lr3-0-1mg,IGF-1 LR3 0.1mg,946870-92-4,1mg
igf-1-lr3-1mg,IGF-1 LR3,946870-92-4,1mg
ipamorelin-10mg,Ipamorelin,170851-70-4,10mg
ipamorelin-5mg,Ipamorelin,170851-70-4,5mg
kisspeptin-10-10mg,Kisspeptin-10,373566-79-9,10mg
kisspeptin-10-5mg,Kisspeptin-10,373566-79-9,5mg
kpv-10mg,KPV,67727-97-3,10mg
kpv-5mg,KPV,67727-97-3,5mg
l-carnitine-600mg-10ml,L-Carnitine 600mg (10ml),541-15-1,600mg
l-glu-100mg,L-Glu,56-85-9,100mg
lemon-bottle-10ml,Lemon Bottle,83-88-5,10ml
lipo-c-10ml,Lipo-C,67-48-1,10ml
ll-37-5mg,LL-37,154947-66-7,5mg
mazdutide-10mg,Mazdutide,2259884-03-0,10mg
mazdutide-5mg,Mazdutide,2259884-03-0,5mg
melanotan-1-10mg,Melanotan 1,75921-69-6,10mg
melanotan-2-10mg,Melanotan 2,121062-08-6,10mg
mgf-2mg,MGF,80214-83-1,2mg
mk-677-5mg,MK-677,159752-10-0,5mg
mots-c-10mg,MOTS-c,1627580-64-6,10mg
