#product_name,#sub_name,#cas_number,#formula,#concentration,label_template,export_filename
Acetic Acid Water,,CAS 64-19-7,C₂H₄O₂ (in H₂O),3ml,main,Acetic Acid Water 3ml
Bacteriostatic Water,,CAS 7732-18-5,H₂O,3ml,main,Bacteriostatic Water 3ml
Bacteriostatic Water,,CAS 7732-18-5,H₂O,10ml,main,Bacteriostatic Water 10ml
Benzyl Alcohol,,CAS 100-51-6,C₇H₈O (in H₂O),3ml,main,Benzyl Alcohol 3ml
Benzyl Alcohol 10ml,,CAS 100-51-6,C₇H₈O (in H₂O),10ml,main,Benzyl Alcohol 10ml
5-amino-1mq,,CAS 42437-96-7,C₁₀H₁₁N₃,5mg,main,5-amino-1mq 5mg
5-amino-1mq,,CAS 42437-96-7,C₁₀H₁₁N₃,10mg,main,5-amino-1mq 10mg
AOD-9604,,CAS 221231-10-3,C₇₈H₁₂₃N₂₁O₂₃S,5mg,main,AOD-9604 5mg
AOD-9604,,CAS 221231-10-3,C₇₈H₁₂₃N₂₁O₂₃S,10mg,main,AOD-9604 10mg
Cagrilintide,,CAS 1415456-99-3,C₁₉₄H₃₁₂N₅₄O₅₉,5mg,main,Cagrilintide 5mg
Cagrilintide,,CAS 1415456-99-3,C₁₉₄H₃₁₂N₅₄O₅₉,10mg,main,Cagrilintide 10mg
Cagrilintide + Semaglutide,,CAS 1415456-99-3,C₁₉₄H₃₁₂N₅₄O₅₉ | C₁₈₇H₂₉₁N₄₅O₅₉,5mg,main,Cagrilintide + Semaglutide 5mg
Cagrilintide + Semaglutide,,CAS 1415456-99-3,C₁₉₄H₃₁₂N₅₄O₅₉ | C₁₈₇H₂₉₁N₄₅O₅₉,10mg,main,Cagrilintide + Semaglutide 10mg
Mazdutide,,CAS 2259884-03-0,C₂₂₅H₃₄₈N₄₈O₆₈,5mg,main,Mazdutide 5mg
Mazdutide,,CAS 2259884-03-0,C₂₂₅H₃₄₈N₄₈O₆₈,10mg,main,Mazdutide 10mg
Retatrutide,,CAS 2381089-83-2,C₂₆₇H₄₀₂N₆₄O₇₈,5mg,main,Retatrutide 5mg
Retatrutide,,CAS 2381089-83-2,C₂₆₇H₄₀₂N₆₄O₇₈,10mg,main,Retatrutide 10mg
Retatrutide,,CAS 2381089-83-2,C₂₆₇H₄₀₂N₆₄O₇₈,20mg,main,Retatrutide 20mg
Retatrutide,,CAS 2381089-83-2,C₂₆₇H₄₀₂N₆₄O₇₈,50mg,main,Retatrutide 50mg
Retatrutide,,CAS 2381089-83-2,C₂₆₇H₄₀₂N₆₄O₇₈,100mg,main,Retatrutide 100mg
Semaglutide,,CAS 910463-68-2,C₁₈₇H₂₉₁N₄₅O₅₉,5mg,main,Semaglutide 5mg
Semaglutide,,CAS 910463-68-2,C₁₈₇H₂₉₁N₄₅O₅₉,10mg,main,Semaglutide 10mg
Sermorelin,,CAS 86168-78-7,C₁₄₉H₂₄₄N₄₄O₄₂,5mg,main,Sermorelin 5mg
Sermorelin,,CAS 86168-78-7,C₁₄₉H₂₄₄N₄₄O₄₂,10mg,main,Sermorelin 10mg
Survodutide,,CAS 2805997-46-8,C₁₈₇H₂₈₁N₄₅O₅₉,10mg,main,Survodutide 10mg
Tesamorelin,,CAS 218949-48-5,C₂₂₁H₃₆₆N₇₂O₆₇S,5mg,main,Tesamorelin 5mg
Tesamorelin,,CAS 218949-48-5,C₂₂₁H₃₆₆N₇₂O₆₇S,10mg,main,Tesamorelin 10mg
Tesamorelin,,CAS 218949-48-5,C₂₂₁H₃₆₆N₇₂O₆₇S,20mg,main,Tesamorelin 20mg
Tirzepatide,,CAS 2023788-19-2,C₂₂₅H₃₄₈N₄₈O₆₈,5mg,main,Tirzepatide 5mg
Tirzepatide,,CAS 2023788-19-2,C₂₂₅H₃₄₈N₄₈O₆₈,10mg,main,Tirzepatide 10mg
Tirzepatide,,CAS 2023788-19-2,C₂₂₅H₃₄₈N₄₈O₆₈,20mg,main,Tirzepatide 20mg
Tirzepatide,,CAS 2023788-19-2,C₂₂₅H₃₄₈N₄₈O₆₈,50mg,main,Tirzepatide 50mg
BPC-157,,CAS 137525-51-0,C₆₂H₉₈N₁₆O₂₂,5mg,main,BPC-157 5mg
BPC-157,,CAS 137525-51-0,C₆₂H₉₈N₁₆O₂₂,10mg,main,BPC-157 10mg
BPC-157,,CAS 137525-51-0,C₆₂H₉₈N₁₆O₂₂,500mcg,capsule,BPC-157 500mcg
TB-500,,CAS 77591-33-4,C₂₁₂H₃₅₀N₅₆O₇₈S,5mg,main,TB-500 5mg
TB-500,,CAS 77591-33-4,C₂₁₂H₃₅₀N₅₆O₇₈S,10mg,main,TB-500 10mg
BPC-157 + TB-500,,CAS 137525-51-0,C₆₂H₉₈N₁₆O₂₂ | C₂₁₂H₃₅₀N₅₆O₇₈S,10mg,main,BPC-157 + TB-500 10mg
BPC-157 + TB-500,,CAS 137525-51-0,C₆₂H₉₈N₁₆O₂₂ | C₂₁₂H₃₅₀N₅₆O₇₈S,20mg,main,BPC-157 + TB-500 20mg
BPC-157 + TB-500 + Cu + KPV,,CAS 89030-95-5,C₁₄H₂₄CuN₆O₄ | C₂₁₂H₃₅₀N₅₆O₇₈S | C₆₂H₉₈N₁₆O₂₂ | C₁₆H₃₀N₄O₄,80mg,main,BPC-157 + TB-500 + Cu + KPV 80mg
Glow Blend,BPC-157 + TB-500 + GHK-Cu,CAS 137525-51-0,C₆₂H₉₈N₁₆O₂₂ | C₂₁₂H₃₅₀N₅₆O₇₈S | C₁₄H₂₄CuN₆O₄,30mg,flower,Glow Blend 30mg
Glow Blend,BPC-157 + TB-500 + GHK-Cu,CAS 137525-51-0,C₆₂H₉₈N₁₆O₂₂ | C₂₁₂H₃₅₀N₅₆O₇₈S | C₁₄H₂₄CuN₆O₄,70mg,flower,Glow Blend 70mg
Glow Blend,BPC-157 + TB-500 + GHK-Cu,CAS 137525-51-0,C₂₁₂H₃₅₀N₅₆O₇₈S | C₆₂H₉₈N₁₆O₂₂ | C₁₄H₂₄CuN₆O₄,85mg,flower,Glow Blend 85mg
CJC-1295 + DAC,,CAS 863288-34-0,C₁₆₅H₂₆₉N₄₇O₄₆,5mg,main,CJC-1295 + DAC 5mg
CJC-1295 + DAC,,CAS 863288-34-0,C₁₆₅H₂₆₉N₄₇O₄₆,10mg,main,CJC-1295 + DAC 10mg
CJC-1295 [no DAC],,CAS 446262-90-4,C₁₅₂H₂₅₂N₄₄O₄₂,5mg,main,CJC-1295 [no DAC] 5mg
CJC-1295 [no DAC],,CAS 446262-90-4,C₁₅₂H₂₅₂N₄₄O₄₂,10mg,main,CJC-1295 [no DAC] 10mg
CJC-1295 [no DAC] + Ipamorelin,,CAS 446262-90-4,C₁₅₂H₂₅₂N₄₄O₄₂,10mg,main,CJC-1295 [no DAC] + Ipamorelin 10mg
CJC-1295 [no DAC] + Ipamorelin + Sermorelin,,CAS 446262-90-4,C₁₅₂H₂₅₂N₄₄O₄₂,5mg,main,CJC-1295 [no DAC] + Ipamorelin + Sermorelin 5mg
GHRP-2 Acetate,,CAS 158861-67-7,C₄₅H₅₆N₁₂O₆,5mg,main,GHRP-2 Acetate 5mg
GHRP-2 Acetate,,CAS 158861-67-7,C₄₅H₅₆N₁₂O₆,10mg,main,GHRP-2 Acetate 10mg
GHRP-6 Acetate,,CAS 87616-84-0,C₄₆H₅₆N₁₂O₆,5mg,main,GHRP-6 Acetate 5mg
GHRP-6 Acetate,,CAS 87616-84-0,C₄₆H₅₆N₁₂O₆,10mg,main,GHRP-6 Acetate 10mg
Hexarelin Acetate,,CAS 140703-51-1,C₄₇H₅₈N₁₂O₆,2mg,main,Hexarelin Acetate 2mg
Hexarelin Acetate,,CAS 140703-51-1,C₄₇H₅₈N₁₂O₆,5mg,main,Hexarelin Acetate 5mg
Ipamorelin,,CAS 170851-70-4,C₃₈H₄₉N₉O₅,5mg,main,Ipamorelin 5mg
Ipamorelin,,CAS 170851-70-4,C₃₈H₄₉N₉O₅,10mg,main,Ipamorelin 10mg
Gonadorelin,,CAS 33515-09-2,C₅₅H₇₅N₁₇O₁₃,2mg,main,Gonadorelin 2mg
Gonadorelin,,CAS 33515-09-2,C₅₅H₇₅N₁₇O₁₃,10mg,main,Gonadorelin 10mg
HCG,,CAS 9002-61-3,—,5000 IU,main,HCG 5000 IU
HCG,,CAS 9002-61-3,—,10000 IU,main,HCG 10000 IU
HGH 191aa,,CAS 12629-01-5,C₉₉₀H₁₅₂₈N₂₆₂O₃₀₀S₇,10 IU,main,HGH 191aa 10 IU
HGH 191aa,,CAS 12629-01-5,C₉₉₀H₁₅₂₈N₂₆₂O₃₀₀S₇,12 IU,main,HGH 191aa 12 IU
HGH 191aa,,CAS 12629-01-5,C₉₉₀H₁₅₂₈N₂₆₂O₃₀₀S₇,15 IU,main,HGH 191aa 15 IU
HGH 191aa,,CAS 12629-01-5,C₉₉₀H₁₅₂₈N₂₆₂O₃₀₀S₇,24 IU,main,HGH 191aa 24 IU
HGH 191aa,,CAS 12629-01-5,C₉₉₀H₁₅₂₈N₂₆₂O₃₀₀S₇,36 IU,main,HGH 191aa 36 IU
HMG,,CAS 9002-68-0,—,75 IU,main,HMG 75 IU
IGF-1 LR3,,CAS 946870-92-4,C₄₇₃H₇₁₁N₁₃₁O₁₀₁S₁₀,0.1mg,main,IGF-1 LR3 0.1mg
IGF-1 LR3,,CAS 946870-92-4,C₄₇₃H₇₁₁N₁₃₁O₁₀₁S₁₀,1mg,main,IGF-1 LR3 1mg
MGF,,CAS 80214-83-1,—,2mg,main,MGF 2mg
PEG-MGF,,CAS 108174-48-7,—,2mg,main,PEG-MGF 2mg
Adipotide,,CAS 859216-15-2,C₁₅₂H₂₅₂N₄₄O₄₂,2mg,main,Adipotide 2mg
Adipotide,,CAS 859216-15-2,C₁₅₂H₂₅₂N₄₄O₄₂,5mg,main,Adipotide 5mg
AICAR,,CAS 2627-69-2,C₉H₁₄N₄O₅,50mg,main,AICAR 50mg
MOTS-c,,CAS 1627580-64-6,C₁₀₁H₁₆₈N₃₀O₂₁,5mg,main,MOTS-c 5mg
MOTS-c,,CAS 1627580-64-6,C₁₀₁H₁₆₈N₃₀O₂₁,10mg,main,MOTS-c 10mg
MOTS-c,,CAS 1627580-64-6,C₁₀₁H₁₆₈N₃₀O₂₁,20mg,main,MOTS-c 20mg
MOTS-c,,CAS 1627580-64-6,C₁₀₁H₁₆₈N₃₀O₂₁,40mg,main,MOTS-c 40mg
SS-31,,CAS 736992-21-5,C₃₂H₄₉N₉O₅,10mg,main,SS-31 10mg
SS-31,,CAS 736992-21-5,C₃₂H₄₉N₉O₅,20mg,main,SS-31 20mg
SS-31,,CAS 736992-21-5,C₃₂H₄₉N₉O₅,25mg,main,SS-31 25mg
SS-31,,CAS 736992-21-5,C₃₂H₄₉N₉O₅,50mg,main,SS-31 50mg
GHK-Cu,,CAS 89030-95-5,C₁₄H₂₄CuN₆O₄,50mg,main,GHK-Cu 50mg
GHK-Cu,,CAS 89030-95-5,C₁₄H₂₄CuN₆O₄,100mg,main,GHK-Cu 100mg
Melanotan 1,,CAS 75921-69-6,C₇₈H₁₁₁N₂₁O₁₉,10mg,main,Melanotan 1 10mg
Melanotan 2,,CAS 121062-08-6,C₅₀H₆₉N₁₅O₉,10mg,main,Melanotan 2 10mg
Snap-8,,CAS 868844-74-0,C₄₁H₆₂N₁₀O₁₅,10mg,main,Snap-8 10mg
ARA-290,,CAS 1208243-50-8,C₂₃H₄₀N₈O₉,10mg,main,ARA-290 10mg
Bremelanotide,,CAS 189691-06-3,C₅₀H₆₈N₁₄O₁₀,5mg,main,Bremelanotide 5mg
Bremelanotide,,CAS 189691-06-3,C₅₀H₆₈N₁₄O₁₀,10mg,main,Bremelanotide 10mg
Dermorphin,,CAS 77614-16-5,C₂₆H₃₅N₅O₅,5mg,main,Dermorphin 5mg
DSIP,,CAS 62568-57-4,C₃₅H₄₈N₁₀O₁₅,5mg,main,DSIP 5mg
DSIP,,CAS 62568-57-4,C₃₅H₄₈N₁₀O₁₅,10mg,main,DSIP 10mg
DSIP,,CAS 62568-57-4,C₃₅H₄₈N₁₀O₁₅,15mg,main,DSIP 15mg
Epithalon,,CAS 307297-39-8,C₁₄H₂₂N₄O₉,10mg,main,Epithalon 10mg
Epithalon,,CAS 307297-39-8,C₁₄H₂₂N₄O₉,20mg,main,Epithalon 20mg
Epithalon,,CAS 307297-39-8,C₁₄H₂₂N₄O₉,50mg,main,Epithalon 50mg
FOXO4-DRI,,CAS 2460055-10-9,—,10mg,main,FOXO4-DRI 10mg
