export_filename,label_template,mockup,#product_name,#concentration
Acetic Acid Water 3ml,main,vial,Acetic Acid Water,3ml
Bacteriostatic Water 3ml,main,vial,Bacteriostatic Water,3ml
Bacteriostatic Water 10ml,main,vial,Bacteriostatic Water,10ml
Benzyl Alcohol 3ml,main,vial,Benzyl Alcohol,3ml
Benzyl Alcohol 10ml,main,vial,Benzyl Alcohol 10ml,10ml
5-amino-1mq 5mg,main,vial,5-amino-1mq,5mg
5-amino-1mq 10mg,main,vial,5-amino-1mq,10mg
AOD-9604 5mg,main,vial,AOD-9604,5mg
AOD-9604 10mg,main,vial,AOD-9604,10mg
Cagrilintide 5mg,main,vial,Cagrilintide,5mg
Cagrilintide 10mg,main,vial,Cagrilintide,10mg
Cagrilintide + Semaglutide 5mg,main,vial,Cagrilintide + Semaglutide,5mg
Cagrilintide + Semaglutide 10mg,main,vial,Cagrilintide + Semaglutide,10mg
Mazdutide 5mg,main,vial,Mazdutide,5mg
Mazdutide 10mg,main,vial,Mazdutide,10mg
Retatrutide 5mg,main,vial,Retatrutide,5mg
Retatrutide 10mg,main,vial,Retatrutide,10mg
Retatrutide 20mg,main,vial,Retatrutide,20mg
Retatrutide 50mg,main,vial,Retatrutide,50mg
Retatrutide 100mg,main,vial,Retatrutide,100mg
Semaglutide 5mg,main,vial,Semaglutide,5mg
Semaglutide 10mg,main,vial,Semaglutide,10mg
Sermorelin 5mg,main,vial,Sermorelin,5mg
Sermorelin 10mg,main,vial,Sermorelin,10mg
Survodutide 10mg,main,vial,Survodutide,10mg
Tesamorelin 5mg,main,vial,Tesamorelin,5mg
Tesamorelin 10mg,main,vial,Tesamorelin,10mg
Tesamorelin 20mg,main,vial,Tesamorelin,20mg
Tirzepatide 5mg,main,vial,Tirzepatide,5mg
Tirzepatide 10mg,main,vial,Tirzepatide,10mg
Tirzepatide 20mg,main,vial,Tirzepatide,20mg
Tirzepatide 50mg,main,vial,Tirzepatide,50mg
BPC-157 5mg,main,vial,BPC-157,5mg
BPC-157 10mg,main,vial,BPC-157,10mg
BPC-157 500mcg,capsule,capsule,BPC-157,500mcg
TB-500 5mg,main,vial,TB-500,5mg
TB-500 10mg,main,vial,TB-500,10mg
BPC-157 + TB-500 10mg,main,vial,BPC-157 + TB-500,10mg
BPC-157 + TB-500 20mg,main,vial,BPC-157 + TB-500,20mg
BPC-157 + TB-500 + Cu + KPV 80mg,main,vial,BPC-157 + TB-500 + Cu + KPV,80mg
Glow Blend 30mg,flower,vial,Glow Blend,30mg
Glow Blend 70mg,flower,vial,Glow Blend,70mg
Glow Blend 85mg,flower,vial,Glow Blend,85mg
CJC-1295 + DAC 5mg,main,vial,CJC-1295 + DAC,5mg
CJC-1295 + DAC 10mg,main,vial,CJC-1295 + DAC,10mg
CJC-1295 [no DAC] 5mg,main,vial,CJC-1295 [no DAC],5mg
CJC-1295 [no DAC] 10mg,main,vial,CJC-1295 [no DAC],10mg
CJC-1295 [no DAC] + Ipamorelin 10mg,main,vial,CJC-1295 [no DAC] + Ipamorelin,10mg
CJC-1295 [no DAC] + Ipamorelin + Sermorelin 5mg,main,vial,CJC-1295 [no DAC] + Ipamorelin + Sermorelin,5mg
GHRP-2 Acetate 5mg,main,vial,GHRP-2 Acetate,5mg
GHRP-2 Acetate 10mg,main,vial,GHRP-2 Acetate,10mg
GHRP-6 Acetate 5mg,main,vial,GHRP-6 Acetate,5mg
GHRP-6 Acetate 10mg,main,vial,GHRP-6 Acetate,10mg
Hexarelin Acetate 2mg,main,vial,Hexarelin Acetate,2mg
Hexarelin Acetate 5mg,main,vial,Hexarelin Acetate,5mg
Ipamorelin 5mg,main,vial,Ipamorelin,5mg
Ipamorelin 10mg,main,vial,Ipamorelin,10mg
Gonadorelin 2mg,main,vial,Gonadorelin,2mg
Gonadorelin 10mg,main,vial,Gonadorelin,10mg
HCG 5000 IU,main,vial,HCG,5000 IU
HCG 10000 IU,main,vial,HCG,10000 IU
HGH 191aa 10 IU,main,vial,HGH 191aa,10 IU
HGH 191aa 12 IU,main,vial,HGH 191aa,12 IU
